metrica,tipo_operacion,variacion_medida
352,AND,16.042857142857144
128,AND,16.042857142857144
352,OR,33.98571428571429
128,OR,33.98571428571429
299,AND,8.67142857142857
256,AND,8.67142857142857
299,OR,33.357142857142854
256,OR,33.357142857142854
44,AND,10.942857142857143
306,AND,10.942857142857143
44,OR,30.32857142857143
306,OR,30.32857142857143
45,AND,14.857142857142858
64,AND,14.857142857142858
45,OR,20.52857142857143
64,OR,20.52857142857143
245,AND,7.2
161,AND,7.2
245,OR,17.571428571428573
161,OR,17.571428571428573
191,AND,13.114285714285714
69,AND,13.114285714285714
191,OR,13.885714285714286
69,OR,13.885714285714286
82,AND,1.0
260,AND,1.0
82,OR,13.085714285714285
260,OR,13.085714285714285
234,AND,15.428571428571429
226,AND,15.428571428571429
234,OR,41.9
226,OR,41.9
153,AND,9.114285714285714
132,AND,9.114285714285714
153,OR,9.471428571428572
132,OR,9.471428571428572
318,AND,1.0
275,AND,1.0
318,OR,32.48571428571429
275,OR,32.48571428571429
258,AND,5.428571428571429
117,AND,5.428571428571429
258,OR,17.057142857142857
117,OR,17.057142857142857
326,AND,18.614285714285714
97,AND,18.614285714285714
326,OR,21.12857142857143
97,OR,21.12857142857143
44,AND,1.0
362,AND,1.0
44,OR,24.285714285714285
362,OR,24.285714285714285
276,AND,4.985714285714286
292,AND,4.985714285714286
276,OR,26.914285714285715
292,OR,26.914285714285715
266,AND,1.0
358,AND,1.0
266,OR,37.02857142857143
358,OR,37.02857142857143
264,AND,10.414285714285715
245,AND,10.414285714285715
264,OR,21.242857142857144
245,OR,21.242857142857144
45,AND,17.557142857142857
163,AND,17.557142857142857
45,OR,40.02857142857143
163,OR,40.02857142857143
165,AND,12.885714285714286
365,AND,12.885714285714286
165,OR,24.142857142857142
365,OR,24.142857142857142
184,AND,6.142857142857143
260,AND,6.142857142857143
184,OR,20.15714285714286
260,OR,20.15714285714286
77,AND,19.542857142857144
362,AND,19.542857142857144
77,OR,22.82857142857143
362,OR,22.82857142857143
238,AND,12.614285714285714
331,AND,12.614285714285714
238,OR,14.842857142857143
331,OR,14.842857142857143
250,AND,1.0
371,AND,1.0
250,OR,31.02857142857143
371,OR,31.02857142857143
334,AND,14.614285714285714
349,AND,14.614285714285714
334,OR,22.314285714285713
349,OR,22.314285714285713
297,AND,1.0
244,AND,1.0
297,OR,26.52857142857143
244,OR,26.52857142857143
289,AND,23.114285714285714
124,AND,23.114285714285714
289,OR,21.542857142857144
124,OR,21.542857142857144
131,AND,9.057142857142857
335,AND,9.057142857142857
131,OR,21.84285714285714
335,OR,21.84285714285714
227,AND,10.071428571428571
302,AND,10.071428571428571
227,OR,18.542857142857144
302,OR,18.542857142857144
38,AND,2.4857142857142858
50,AND,2.4857142857142858
38,OR,9.842857142857143
50,OR,9.842857142857143
275,AND,1.0
291,AND,1.0
275,OR,31.7
291,OR,31.7
27,AND,1.0
364,AND,1.0
27,OR,24.742857142857144
364,OR,24.742857142857144
99,AND,16.82857142857143
297,AND,16.82857142857143
99,OR,31.12857142857143
297,OR,31.12857142857143
59,AND,25.185714285714287
316,AND,25.185714285714287
59,OR,35.714285714285715
316,OR,35.714285714285715
279,AND,1.0
364,AND,1.0
279,OR,37.84285714285714
364,OR,37.84285714285714
283,AND,2.0
221,AND,2.0
283,OR,34.8
221,OR,34.8
283,AND,22.4
29,AND,22.4
283,OR,19.6
29,OR,19.6
249,AND,4.014285714285714
124,AND,4.014285714285714
249,OR,14.757142857142858
124,OR,14.757142857142858
277,AND,3.9285714285714284
245,AND,3.9285714285714284
277,OR,26.0
245,OR,26.0
365,AND,19.114285714285714
39,AND,19.114285714285714
365,OR,9.257142857142858
39,OR,9.257142857142858
44,AND,22.17142857142857
326,AND,22.17142857142857
44,OR,18.985714285714284
326,OR,18.985714285714284
120,AND,7.428571428571429
148,AND,7.428571428571429
120,OR,14.428571428571429
148,OR,14.428571428571429
129,AND,1.0
368,AND,1.0
129,OR,27.214285714285715
368,OR,27.214285714285715
301,AND,1.0
360,AND,1.0
301,OR,40.885714285714286
360,OR,40.885714285714286
371,AND,21.985714285714284
49,AND,21.985714285714284
371,OR,13.685714285714285
49,OR,13.685714285714285
147,AND,8.057142857142857
191,AND,8.057142857142857
147,OR,42.74285714285714
191,OR,42.74285714285714
291,AND,2.6
255,AND,2.6
291,OR,26.514285714285716
255,OR,26.514285714285716
277,AND,15.228571428571428
167,AND,15.228571428571428
277,OR,25.9
167,OR,25.9
56,AND,1.0
307,AND,1.0
56,OR,19.271428571428572
307,OR,19.271428571428572
121,AND,6.228571428571429
89,AND,6.228571428571429
121,OR,23.485714285714284
89,OR,23.485714285714284
314,AND,1.0
238,AND,1.0
314,OR,30.65714285714286
238,OR,30.65714285714286
235,AND,1.0
301,AND,1.0
